	Full	Lasso	Step-wise	Interactions Lasso	Interactions Stepwise
(Intercept)	24.535**	23.704**	27.827***	-303.079*	30.562**
	(8.098)	(7.948)	(1.928)	(137.326)	(9.334)
e3_alcpreg_yn_None	-1.386	-1.407		411.526**	
	(0.944)	(0.940)		(134.894)	
h_cereal_preg_Ter: (27.3,Inf]/(0,9]	4.074**	4.042**	3.811**	-133.051	-4.162
	(1.460)	(1.452)	(1.362)	(201.817)	(9.677)
h_cereal_preg_Ter: (9,27.3]/(0,9]	1.640	1.648	1.349	-15.859	-2.062
	(1.024)	(1.018)	(0.994)	(111.809)	(8.887)
h_dairy_preg_Ter: (17.1,27.1]/(0,17.1]	-1.767	-1.775		737.590***	
	(1.461)	(1.419)		(200.667)	
h_dairy_preg_Ter: (27.1,Inf]/(0,17.1]	-1.388	-1.257		518.044***	
	(1.338)	(1.318)		(105.481)	
h_fastfood_preg_Ter: (0.25,0.83]/(0,0.25]	-1.084	-1.030	-0.879	215.422*	-6.802
	(1.969)	(1.959)	(1.902)	(103.960)	(8.738)
h_fastfood_preg_Ter: (0.83,Inf]/(0,0.25]	2.281	2.358	2.612	-38.266	-2.736
	(2.185)	(2.173)	(2.108)	(140.307)	(8.925)
h_fish_preg_Ter: (1.9,4.1]/(0,1.9]	0.634	0.694		-239.594**	
	(1.178)	(1.162)		(69.173)	
h_fish_preg_Ter: (4.1,Inf]/(0,1.9]	1.712	1.660		-361.250**	
	(1.191)	(1.178)		(105.798)	
h_folic_t1_None	-2.110*	-2.160*	-1.801*	150.051*	11.321*
	(0.980)	(0.949)	(0.903)	(56.516)	(4.818)
h_fruit_preg_Ter: (0.6,18.2]/(0,0.6]	6.962	7.157		47.112	
	(6.542)	(6.459)		(61.320)	
h_fruit_preg_Ter: (18.2,Inf]/(0,0.6]	8.127	8.283		-82.498*	
	(6.512)	(6.465)		(32.484)	
h_legume_preg_Ter: (0.5,2]/(0,0.5]	-2.358	-2.471	-2.176	633.538*	3.445
	(1.967)	(1.946)	(1.791)	(237.031)	(6.873)
h_legume_preg_Ter: (2,Inf]/(0,0.5]	-4.127*	-4.122*	-4.045*	-31.576	-4.272
	(1.741)	(1.724)	(1.593)	(26.347)	(2.842)
h_meat_preg_Ter: (10,Inf]/(0,6.5]	-1.179	-1.142		0.413	
	(1.152)	(1.137)		(23.957)	
h_meat_preg_Ter: (6.5,10]/(0,6.5]	0.158	0.103		-148.189	
	(1.188)	(1.177)		(99.429)	
h_pamod_t3_None: Often	0.374	0.494		-36.657	
	(2.264)	(2.246)		(38.968)	
h_pamod_t3_None: Sometimes	1.815	1.965		-48.917	
	(2.369)	(2.347)		(28.820)	
h_pamod_t3_None: Very Often	-0.046	0.100		-65.609**	
	(2.249)	(2.227)		(23.340)	
h_pavig_t3_None: Low/High	-2.404	-2.317		412.109***	
	(2.472)	(2.458)		(102.628)	
h_pavig_t3_None: Medium/High	-2.923	-2.842		481.334***	
	(2.593)	(2.578)		(113.400)	
h_veg_preg_Ter: (16.5,Inf]/(0,8.8]	-0.583				
	(1.401)				
h_veg_preg_Ter: (8.8,16.5]/(0,8.8]	-0.663				
	(1.015)				
e3_alcpreg_yn_None x h_cereal_preg_Ter: (27.3,Inf]/(0,9]				-14.839	
				(10.949)	
e3_alcpreg_yn_None x h_cereal_preg_Ter: (9,27.3]/(0,9]				4.345	
				(4.141)	
e3_alcpreg_yn_None x h_dairy_preg_Ter: (17.1,27.1]/(0,17.1]				21.966	
				(12.746)	
e3_alcpreg_yn_None x h_dairy_preg_Ter: (27.1,Inf]/(0,17.1]				18.804	
				(13.258)	
e3_alcpreg_yn_None x h_fastfood_preg_Ter: (0.25,0.83]/(0,0.25]				-192.496*	
				(89.540)	
e3_alcpreg_yn_None x h_fastfood_preg_Ter: (0.83,Inf]/(0,0.25]				-201.131*	
				(88.983)	
e3_alcpreg_yn_None x h_fish_preg_Ter: (1.9,4.1]/(0,1.9]				-7.470	
				(5.228)	
e3_alcpreg_yn_None x h_fish_preg_Ter: (4.1,Inf]/(0,1.9]				-8.316	
				(5.518)	
e3_alcpreg_yn_None x h_folic_t1_None				-5.798	
				(4.582)	
e3_alcpreg_yn_None x h_fruit_preg_Ter: (0.6,18.2]/(0,0.6]				-10.092	
				(5.658)	
e3_alcpreg_yn_None x h_legume_preg_Ter: (0.5,2]/(0,0.5]				-10.945	
				(14.372)	
e3_alcpreg_yn_None x h_legume_preg_Ter: (2,Inf]/(0,0.5]				1.696	
				(11.728)	
